;l_x;l_y;l_z;d_x;d_y;d_z;a_x;a_y;a_z;b_x;b_y;b_z;l_x_2;l_y_2;l_z_2;d_x_2;d_y_2;d_z_2;a_x_2;a_y_2;a_z_2;b_x_2;b_y_2;b_z_2;rotacao;angulacao;torque
0;-21.79559707;-23.68484800;0.68502981;-25.65402002;-24.79779250;-0.86505037;-28.73505187;-20.45108842;0.54879351;-29.91755558;-19.15013304;-4.14607264;-20.63167617;-23.06713939;0.68502981;-24.17777749;-24.95161240;-0.86505037;-28.08872370;-21.33345080;0.54879351;-29.51402553;-20.30422069;-4.14607264;11.89715403;-12.36503503;16.88762477
1;-16.06403971;-12.81409408;-0.66543309;-23.45075014;-15.11785357;1.93609740;-25.54209436;-10.42013823;2.74325068;-27.40682058;-10.36105607;-2.18927514;-14.43913338;-10.85574262;-0.66543309;-20.49735573;-15.66913443;1.93609740;-24.14257846;-12.04220717;2.74325068;-25.90305207;-12.65980513;-2.18927514;21.14631824;7.13682185;19.64205069
2;-15.99353695;-5.06934061;0.21878062;-20.87720961;-5.45043777;3.43751851;-22.97357360;-1.57187378;4.77062013;-24.31784637;-1.39763718;-1.24702234;-14.51981258;-3.44858180;0.21878062;-18.73086422;-5.95108810;3.43751851;-22.32691555;-3.40032048;4.77062013;-23.60954534;-3.83882759;-1.24702234;26.25976135;4.16779106;12.03224823
3;-13.51433916;1.70319810;0.35194352;-18.91103142;1.33278936;3.97676455;-21.33839753;4.97397778;5.43201007;-21.88039413;5.89192403;-1.36116350;-11.99884580;3.64004796;0.35194352;-16.56196535;0.73497826;3.97676455;-20.43459836;2.77288720;5.43201007;-21.34945655;3.32008018;-1.36116350;28.55609869;-4.60525598;7.67005587
4;-11.73822794;8.60197183;0.12231357;-18.20410892;10.29335695;5.62583879;-17.26534723;13.34220264;5.75818171;-18.93102707;11.62247433;-3.43095724;-9.20862317;10.94980185;0.12231357;-15.78507778;9.75873291;5.62583879;-16.21862835;12.91923405;5.75818171;-17.00442191;10.65771172;-3.43095724;24.92493552;13.82618437;4.88766042
5;-8.75178485;13.28425357;-0.06348124;-13.93838103;17.61195179;4.80312312;-11.84118046;19.63826406;5.27324060;-12.25975720;17.05265653;-4.05033980;-2.94213251;17.14565231;-0.06348124;-9.39071731;15.13430802;4.80312312;-9.95612873;17.99516481;5.27324060;-8.01058346;16.24147545;-4.05033980;57.16458460;10.65240986;-11.78673807
6;-3.51711028;14.55963607;-0.40957327;-7.02648406;21.11143386;6.24960965;-3.50064700;22.21982448;6.37263724;-4.17490982;20.24344782;-4.78360795;6.87484697;17.55889904;-0.40957327;0.04254988;14.63289919;6.24960965;-0.75485798;18.24180449;6.37263724;1.15535647;17.39813642;-4.78360795;85.00844528;4.32464388;-9.71617935
7;4.05078131;13.92616218;-0.41426244;8.33442320;20.09082311;5.87596198;5.08705209;21.61131770;6.25958272;4.72903980;19.97198120;-4.20741358;-5.54424579;17.39510645;-0.41426244;1.47140526;14.72428773;5.87596198;2.16402569;18.24246906;6.25958272;0.48673346;18.19463848;-4.20741358;-76.04724399;0.26182022;9.10400830
8;9.44810628;13.10815465;0.32584979;14.38260789;16.43727904;4.81577880;12.75818693;18.30068391;4.84552168;12.82409681;15.97307769;-4.54008073;4.64668060;16.16189769;0.32584979;10.39584564;14.61934246;4.81577880;10.73754148;17.06766130;4.84552168;9.02341865;15.49162902;-4.54008073;-49.02532896;9.53218927;10.35004412
9;12.11824599;7.63357361;0.28738784;19.24025657;9.55911969;4.66682872;18.14299905;12.25288840;5.42967957;18.15418873;11.16990687;-4.83081827;9.64528050;10.56898822;0.28738784;16.84776030;8.97053672;4.66682872;17.12550079;11.86591651;5.42967957;16.63296916;10.90135092;-4.83081827;-27.64198364;5.37046004;2.74824272
10;13.76842206;0.86269837;0.41236456;19.68282046;0.22316077;3.07968367;21.82687345;4.44839224;4.48602394;21.91228838;4.65280806;-2.66996260;12.26307073;2.66683020;0.41236456;17.46010727;-0.22798032;3.07968367;21.08181159;2.82698319;4.48602394;21.24016421;2.98192184;-2.66996260;-22.94677541;-1.24035222;-1.26767375
11;15.80107723;-6.60153367;0.01684549;21.71645933;-6.38928644;2.91356793;22.83406226;-2.30999218;4.20699847;23.45216381;-1.99279139;-1.47938758;13.75092609;-4.20593828;0.01684549;18.83301586;-7.24059771;2.91356793;21.98702501;-4.42245928;4.20699847;22.67829369;-4.49183851;-1.47938758;-32.89754224;0.69902744;-6.93118338
12;16.33892767;-14.06511165;-0.25730835;23.96217971;-16.64289132;1.36073490;25.75098555;-11.41875807;2.11722654;27.24285646;-10.82633897;-2.76503471;14.98749986;-12.40648246;-0.25730835;21.61586878;-16.96977569;1.36073490;24.76447741;-12.43351531;2.11722654;26.36146454;-12.27143109;-2.76503471;-15.86261365;-1.90144115;-18.11291518
13;22.17767749;-24.14279130;0.21418658;26.18856907;-25.32123082;-0.86379257;29.68326875;-20.82101208;0.03366421;30.42119659;-19.66213435;-5.04842422;22.71078965;-24.45731449;0.21418658;26.79627553;-25.34319037;-0.86379257;29.95705287;-20.60247511;0.03366421;30.60941296;-19.39335915;-5.04842422;4.13897983;-13.38284073;-7.31474684
